title,link,published,description,source,fetched_at
Mexico’s WAS Co. reaches $10 million valuation after pre-seed round,https://contxto.com/en/funding/mexicos-was-co-reaches-10-million-valuation-after-pre-seed-round/,"Wed, 19 Mar 2025 18:47:27 +0000","WAS Co, a startup that produces sustainable materials for the construction industry, raised $1.5 million dollars in a pre-seed investment round, mainly from angel investors, reaching a valuation of $10 million dollars. The startup, originally from Mexico, was founded in 2019 when Walter Mata, CEO of WAS Co., graduated from the University of Monterrey (UdeM). The founding team consisted of Fabián Rodríguez and Pablo Castaño. At the beginning they started using recycled plastic to manufacture formwork (a type of concrete container). From the beginning, the founding team’s concern was to reduce the environmental impact of the construction industry, which is one of the biggest polluters in Monterrey. Although they have experimented with different materials, the main objective has always been to replace traditional cement and concrete with one with less environmental and health impact. So they began working to develop and design a cement and concrete substitute with the help of the cement company Holcim through its Global Acceleration program. Over the years, they have succeeded in creating zero-emission cements and concretes from mining waste, since the mining industry generates waste all over the world, which WAS Co. uses to transform it into zero-emission construction materials. In 2024, WAS Co. generated sales of $200,000 dollars and the projection for 2025 is between $500,000 and US$1 million dollars. Its annual growth was 1.5 times. Walter Mata – who was recognized in 2022 as Inventor of the Year by the MIT Innovators Under 35 Awards – estimates that in the third quarter of 2025 he will raise another $15 million dollars for his seed round. With the money raised, they are looking to build a plant to manufacture their products. The pilot plans to manufacture 5 to 10 tons per month, according to a document shared by its CEO to Contxto. For now they have five technologies they are looking to patent. According to said document, the opportunity for this type of materials in Mexico is more than 160 million tons with a value of $150 dollars per ton; a target market of $16 billion dollars. This could reach $144 billion dollars if the United States and Canada are considered. Positioning of the contech WAS Co. enters the contech (construction technology) and cleantech (clean technologies) ecosystem, a sector that is gaining relevance within venture capital, but which has not always been among the most invested. According to an analysis published by Cemex Ventures, in 2024 in the world, 3.1 billion dollars were invested in contech startups and there were 325 agreements, 90 more than in 2023, although the amount invested remained static. Around the world, there are already several efforts to decarbonize the manufacture of building materials. In the United States, startups such as C-Crete and Sublime Systems, backed by the Massachusetts Institute of Technology (MIT), are already doing so. And in Mexico, Cemex, through its venture capital arm, has collaborated with startups around the world to innovate in this area. Also, in 2023, Holcim launched a product that promises 50% less carbon emissions.",,2025-05-08T10:18:43.687525
"Eventsost, the sustainable certification platform for events, announces expansion into Mexico",https://contxto.com/en/mexico/eventsost-the-sustainable-certification-platform-for-events-announces-expansion-into-mexico/,"Wed, 19 Mar 2025 16:12:13 +0000","Eventsost, a sustainable management certification system for the events industry, announces its expansion into Mexico. The platform was founded in 2014 by Alberto Gómez in Madrid, and since then accompanies and advises companies, organizers and decision makers to adopt more sustainable strategies for event production. With its arrival in Mexico, the goal is to create a community of companies in the MICE (meetings, incentives, conferences and exhibitions) industry, committed to both environmental and social sustainability. “Mexico is one of the main destinations for festivals and concerts, and is also the fifth key player in Latin America in the congress, corporate and sporting events industry,” explained Alberto Gómez, founder and CEO of Eventsost. According to data from the company, in the next two years they expect to implement their certification, with the help of their technological tools that allow them to measure their impact and optimize their resources, to more than 40 leading and top-level companies in the industry. “There is a key opportunity in the implementation of sustainable practices as a competitive differentiator. Sustainability actions can strengthen the leadership of Mexican companies and attract more investment and motivate other countries in the region to adopt similar strategies,” says Gómez. Events as a source of pollution Despite the growing concern for sustainability in the entertainment industry, the environmental impact of festivals is still a poorly documented issue in Mexico. Data from the National Institute of Statistics and Geography (INEGI) reveal that a person generates an average of 854 grams of garbage per day, which in an event with 90,000 attendees could translate into approximately 77 tons of solid waste. Hence, the company’s solution is to offer certifications for the improvement of sustainability throughout the entire event management cycle; provide specialized consultants to verify responsible practices in festivals and companies; and a technological platform that uses AI to advise and personalize learning for event organizers, while allowing them to see in real time how to reduce their carbon footprint based on planning decisions they make ahead of events. Attendee transportation, waste production, energy consumption and water impact are some of the main contributors to the carbon footprint and environmental impact of mass events. Among the solutions are transportation logistics plans, use of compostable materials, use of biodiesel or renewable energies; among a wide range of other actions. “The current success of events is not limited to attendance or visual impact, attendees increasingly value their ability to reduce their environmental footprint on the environment and the community and it becomes a key reason to feel more in order of a brand or musical event. It is key to implement sustainable practices that make it stand out as a competitive differentiator,” emphasized Gómez. Over 10 years, the platform has certified more than 135 events such as Granca Live Fest 2024 and 40 organizations including hotels, venues, catering, agencies and other actors in the convention, conference and business tourism sector in Europe and Chile, including events of companies such as Google, Siemens, Mastercard, Sony, BBVA, among others.",,2025-05-08T10:18:43.687525
"“Our goal is to prevent blindness through early detection with AI,” Cristina Campero, CEO of PROSPERiA",https://contxto.com/en/healthtech/our-goal-is-to-prevent-blindness-through-early-detection-with-ai-cristina-campero-ceo-of-prosperia/,"Mon, 17 Mar 2025 16:33:31 +0000","Among the sectors most benefiting from advances in artificial intelligence is healthcare. From drug discovery to the optimization of time and resources in the diagnosis of various pathologies, new AI solutions are transforming the sector and the global healthcare AI market is expected to exceed $187 billion dollars by 2030. In Latin America, this technology could drive a transformation. Since early diagnosis is the key to avoiding serious or irreversible illness, the lack of preventive measures threatens the health of millions of people. Mexican startup PROSPERiA was founded in 2020 with the mission of creating cutting-edge technological solutions to make healthcare more accessible. In an interview with Contxto, Cristina Campero, CEO of PROSPERiA, highlighted the importance of working in the sector and generating a direct impact on people’s health and quality of life. Several years after starting her career as a consultant at McKinsey, where she was able to learn about various industries including healthcare, pharmaceuticals and medical devices, Campero decided to start a company with her cousin, Alejandro Noriega, who was finishing his PhD in artificial intelligence at MIT. The two were aligned on creating something primarily to improve access to diagnostics and treatments. Their main product is currently retinIA, a platform developed to help prevent blindness. The platform is powered by artificial intelligence to perform automatic analysis of retinal images. Thanks to the efficiency of this technology, retinIA can issue personalized and timely recommendations to both patients and physicians. “We decided to start with diabetic retinopathy because it is particularly a very big problem in Mexico, a country with the highest prevalence of diabetes in the world, and because our healthcare system, the public one, is inefficient, while the private one is very fragmented and expensive,” explained the CEO. “It’s a huge problem that technologically was a good starting point.” Mexico is one of the countries with the highest prevalence of diabetes in the world, and if not properly controlled can lead to serious complications such as diabetic retinopathy. This condition, which damages the blood vessels of the retina, is one of the main causes of blindness in adults. Early detection can prevent vision loss. Technology as a tool for more accessible health The platform developed by Campero and her team uses artificial intelligence algorithms to analyze retinal images and detect early signs of diabetic retinopathy, glaucoma, cataracts, pathological myopia, macular edema and more. The process is simple: a photo of the retina is taken with a special camera, uploaded to the platform, and algorithms analyze the image to identify potential problems. “Our goal is to prevent blindness through early detection. We take a picture of the retina, analyze it with artificial intelligence, and if we find anything suspicious we recommend the patient to visit an ophthalmologist for proper diagnosis and treatment,” Campero explains. Although technology offers promising solutions, innovating in the healthcare sector is not without its challenges. One of the biggest obstacles PROSPERiA faced was the lack of clear regulations in Mexico for medical software. “When we started there was no clear regulation for medical software in Mexico. That was a problem because we did not have a defined path, but also an advantage because it allowed us to position our solution as a screening tool, not as a definitive diagnosis,” commented Campero. Improving the accuracy of the algorithms for the Mexican population was another important challenge. “The first algorithm we designed was based on a public database with images of patients from several countries. Although it allowed us to launch an MVP, we knew we needed to improve the accuracy for our population,” she added. To date, the platform has evaluated more than 95,000 patients, detecting retinal problems in 16,000 of them. These findings have enabled many people to receive early treatment, preventing serious complications and even blindness. “The most important thing is that we are helping patients who didn’t know they had a problem. If they had not done the study, that lesion could have progressed and caused irreversible vision loss,” Campero emphasizes. Expansion and upcoming challenges Since its $2M seed investment in 2022 financed by the Swedish fund Cardo Health, focused on healthcare companies, the company has continued to improve its product and expand its operational capabilities. While currently focused on Mexico, Campero and her team do not rule out opportunities to expand into more Latin American countries and key markets such as the United States. However, they recognize that each market has its own regulations and challenges that must be resolved before making the leap. “In the United States, regulations are much clearer, but also more demanding. Also, the healthcare system is very different, with a focus on insurance and reimbursement. For now we continue with the objective of consolidating our operation in Mexico,” she explained. To conclude, Campero shared some valuable reflections for those who wish to enter the medical technology sector: “It is a roller coaster. There are very good moments, but also many challenges. The most important thing is to build a solid network of mentors, investors and other entrepreneurs. Don’t keep quiet about your idea; share it early on to get feedback and support.”",,2025-05-08T10:18:43.687525
"Latin America, a leader in hiring demand for tech talent",https://contxto.com/en/america-latina/latin-america-a-leader-in-hiring-demand-for-tech-talent/,"Thu, 13 Mar 2025 01:02:11 +0000","The technology sector is an ever-growing market that attracts investment, and is projected to grow by approximately 11% in Latin America by 2024, according to research and consulting firm IDC. This opens up possibilities for both new talent and companies looking to attract new talent into their ranks. Among the advantages that make the region attractive for companies seeking talent is its proximity to the United States and similar time zones. This is reflected in a market that is transitioning from offshoring to nearshoring. From 2000 to 2023, the number of technology-based companies in Latin America increased from 558 to 33,489, representing a 60-fold growth. Thanks to this demand from technology companies, applications for some key positions in the industry, such as software developers, data engineers and AI/ML specialists, are expected to increase. Local players incentivizing hiring “The outlook is challenging but promising,” John Mendivelso, Slalom ‘s Director for Colombia, told Contxto. “Latin America is benefiting from the growing global demand for tech talent, especially with the rise of Allshore operating models, which allow companies to hire talent regardless of their geographic location.” Among the advantages that attract the eyes of large companies to the region is the young and talented population, with many professionals trained in computer science, software engineering and other IT-related areas. This is highlighted in the latest ‘State of Global Hiring Report 2024’ by Deel, which states that Generation Z is increasingly important for the labor market, registering an increase of 116 percent in hiring processes. Additionally, competitive costs, multilingual professionals, as well as attractive tax incentives for North American companies, are key to attracting recruiters. However, Mendivelso noted that there remain significant challenges. “One of the biggest challenges is the skills gap, as the pace of technological upgrades does not always match the training of local talent. In addition, the high demand for professionals with advanced English reduces the pool of available candidates.” English skills gap EF Education First recently published its EF English Proficiency Index, which revealed that Latin America continues to have the lowest proficiency levels in the language worldwide. For example, Colombia ranks 74th, among the lowest levels in the region. “We know that Spanish de facto opens economic opportunities with other countries that share the language, but English opens more geographic doors, plus we know that Mexico is not only interested in exchanging with Latin American countries,” said Mendivelso. Slalom has recently established a Global Technology Center in Colombia, with plans to employ 600 professionals by 2025. “Our goal is to combine local, national and global talent through our Allshore model,” Mendivelso explained. “This not only creates growth opportunities for Colombian professionals, but also contributes to raising industry standards in the country.” According to projections by the Inter-American Development Bank (IDB) it is estimated that by 2025, 1.2 million software developers will be employed, generating sales of more than $18.5 billion in Latin America. The study states that 31% of IT candidates consider that the most reliable option for job search are digital recruitment platforms. Followed by those who prefer job portals (22%). In addition, 21% of IT professionals changed companies in the last year, and the average length of employment was about 1.3 years. Slalom takes an inclusive approach to addressing inequality in access to education. “We offer technical and soft skills training programs, mentoring and coaching,” Mendivelso explained. “We also collaborate with educational institutions and nonprofit organizations to identify talent in disadvantaged communities.”",,2025-05-08T10:18:43.687525
Impact Ventures PSM and Impacta VC launch $5 million fund to invest in Latin American startups,https://contxto.com/en/venture-capital-es/impact-ventures-psm-and-impacta-vc-launch-5-million-fund-to-invest-in-latin-american-startups/,"Fri, 07 Mar 2025 19:46:02 +0000","Mexican fund Impact Ventures PSM, Promotora Social Mexico‘s impact investment team, and Impacta VC, a Chilean social and environmental impact venture capital firm, launched a strategic alliance for the formation of a new fund called “Impact Ventures PSM Seed” for a value of US$5 million. The fund will be operated by Impacta VC and expects to invest in 20 Latin American startups in pre-seed and seed stages that generate social and/or environmental impact. The investment thesis includes sectors such as education, health, fair trade, ecosystem development, housing, financial inclusion, agtech and climatech. The priority will be startups with a technological component and a full-time committed founding team, betting on innovative, scalable and replicable business models that generate positive and sustainable change in society and the environment. “The main criteria we consider is the positive impact that the company can have in the region and in the world; that is to say that they can, thanks to their products or services, improve the quality of life of the most needy people,” Corinne Lebrun, Managing Partner of Impact Ventures PSM Seed told Contxto. “We also look for the team to be the right one and to be fully committed to providing the solution to the problem they have chosen to work on. We invest first and foremost in people who are aligned with our values and impact mission,” she added. With these criteria in mind, they will make investments of between $100,000 and $300,000 USD in the selected startups. Impact Ventures PSM has been investing in impact projects in Mexico for more than 15 years, with 31 total active investments in the portfolio: 21 direct investments in companies and 10 investments in funds. These investments come from 6 countries: Mexico, Chile, Colombia, Argentina, Brazil and the United States. Meanwhile, Impacta VC has built a portfolio of 11 startups in different countries in the region through its Fund I, of $6.6M USD. These include Betterfly, the first social unicorn in Latin America; Airbag, which fights one of the leading causes of death in the world; and Wheel the World, which drives global accessibility from the U.S. In addition, with three editions of its capital raising program, the Impacta Fundraising Strategy Program (IFSP), it has supported more than 350 startups from 14 Latin American countries. Strategic support In addition to the grants, the fund also provides a broad portfolio of connections and advice for the selected startups. “We consider ourselves true partners of the entrepreneurs and we seek to have a continuous collaboration adapted to each need. We have personalized mentoring programs, and we also make our network available, creating connections and a support network,” explains Lebrun. In this sense, the fund aims to solve a specific and clear problem in the region: the lack of pre-seed and seed capital, which is why this alliance was created to provide them with the financing, support and connections they need to scale. “The doors are open to build together a future with more opportunities and solutions that transform Latin America,” said David Alvo, CEO and Managing Partner of Impacta VC. Both organizations share the same vision: to drive innovative and sustainable solutions that transform realities in Latin America. “Entrepreneurship is a long and often lonely road, so having a support network makes a difference,” added Lebrun, who also emphasized the importance of understanding the difficulties faced by early-stage companies and being present to help them solve them. “We want entrepreneurs to have enough confidence with us to tell us when things are not going well and ask us for help, because they know we can provide them thanks to the large network of mentors we have in Latin America,” he said. Regarding social and environmental impact investment opportunities, Lebrun noted that Latin America presents unique challenges that, in turn, generate significant opportunities. “The more difficulties and challenges we have in the region, the more opportunities we see to invest in sectors that need disruption because we are not doing things right,” he explained. Among the most promising sectors, he mentioned education, health and basic services, highlighting the need to make them accessible to all. Finally, he emphasized the challenges of climate change. “We cannot forget about all the effects that climate change brings with it, especially for the most vulnerable population,” the investor concluded.",,2025-05-08T10:18:43.687525
Argentine fintech N5 raises $20 million to accelerate its AI innovation,https://contxto.com/en/funding/argentine-fintech-n5-raises-20-million-to-accelerate-its-ai-innovation/,"Wed, 05 Mar 2025 18:30:39 +0000","Argentine fintech N5, which helps banks, insurance companies and other financial institutions to connect their existing systems — such as CRM, payments and regulatory compliance — in one place, has announced it scooped up USD $20 million in an investment round that was supported by Endeavor and Alexia Ventures. With this capital injection they will seek to accelerate the evolution of the Artificial Intelligence area and the development of its AIfred, Pep and Singular solutions, designed with this technology for the financial sector, as well as the expansion of N5 to other markets. The company added Alexia Ventures, a fund that invests in software and artificial intelligence (AI) companies in Latin America, and Scale-Up Ventures, Endeavor’s venture capital fund. “The extension of this round reinforces the credibility of our work, the confidence the market has in our value proposition, and the impact we are generating in the industry,” said Julian Colombo, CEO of N5. “That’s why we believe this injection validates our vision and encourages us to continue transforming our ecosystem through technology.” In addition to strengthening and accelerating innovation in artificial intelligence, the CEO of the fintech says that with this support, they will also continue to accelerate their international expansion through the “N5 Partner Network” program to respond to the growing global demand for their technology, delivering even more efficiency and value to their customers around the world. Since its founding in 2017, N5 has stood out for its core product, N5 Now, an end-to-end platform that integrates all essential software for the operation of financial institutions, such as CRMs, BPMs, incentives and omnichannel. Its clients include institutions such as Itaú, Mastercard and Santander. According to company figures, in the last year, N5 again doubled in size and expanded its operations to Peru, Chile, Mexico and the Dominican Republic, reaching a total of 18 countries. This growth was accompanied by a 54% increase in its technology team and the acceleration in the development of its AI solutions. “When we met Julian and the clients using N5, we were absolutely blown away by the impact the platform is having on transforming the financial sector,” said Patrick Arippol, Co-Founder and Partner at Alexia Ventures. “N5’s artificial intelligence is not a future promise, it is at the heart of the platform, revolutionizing the relationship between banks and their customers”, added Arippol.",,2025-05-08T10:18:43.687525
VEMO raises $63 million to expand electric mobility in Mexico,https://contxto.com/en/news/vemo-raises-63-million-to-expand-electric-mobility-in-mexico/,"Tue, 04 Mar 2025 18:36:08 +0000","Mexican electric mobility company VEMO raised around USD $63 million to expand its electric vehicle fleet and charging network. The investment round was led by Beel Credit, Banco Covalto, Kapital and Promecap Founded in 2021, VEMO offers end-to-end electric mobility solutions, including electric vehicle leasing, charging stations and fleet management. VEMO helps independent drivers transition from gasoline-powered vehicles to electric vehicles with a simple, comprehensive system that facilitates fleet electrification. The company has deployed more than 600 public charging points to date throughout Mexico and operates one of the largest electric vehicle transportation and last-mile delivery fleets in that country. With this investment, VEMO intends to expand its electric fleet, install more charging infrastructure and improve its fleet management technology. They also want to expand VEMO Impulso, their vehicle leasing program for passenger transport drivers with operations in Mexico. The program includes exclusive benefits such as access and preferential pricing at the more than 600 chargers of the VEMO Charging Network, the most robust and reliable public charging network in Mexico. These financing lines will allow VEMO Impulso to continue consolidating its position in leasing to drivers of mobility platforms, democratizing access to credit for thousands of drivers with an entrepreneurial spirit so they can build equity. “Our comprehensive model to form a clean mobility ecosystem allows us today to employ more than 2,000 people that we seek to contribute to a mobility decabonixation effort that benefits us with better user experiences and cleaner air in our cities,” Aaron Saenz, Director of VEMO Impulso, told Contxto. Currently, more than 3,500 independent drivers have financed their vehicles with VEMO Impulso and more than 50% opt for clean mobility solutions, driven by the experience of use and the economic advantages that this option offers. This model not only transforms the way they work, but also opens up opportunities for them to grow and professionalize in a constantly evolving sector. “We seek to accelerate the adoption of clean mobility technologies through an innovative and pioneering comprehensive solution that includes vehicles, charging infrastructure, technology and data intelligence for fleet management, as components that make up a clean mobility ecosystem,” adds Saenz. Siemens, Uber, Santander and BYD are some of the global leaders that VEMO has partnered with to help companies and drivers reduce fuel costs, lower emissions and accelerate the use of electric transportation in Mexico. In February 2024, the company also closed a strategic round of capital with Orion Infrastructure Partners (OIC), who joined Riverstone Holdings as the second U.S. fund specializing in sustainable infrastructure to invest in the Mexican company.",,2025-05-08T10:18:43.687525
Unicorns in Latin America 2025: how the race to conquer the $1 billion mark is going,https://contxto.com/en/venture-capital/unicorns-in-latin-america-2025-how-the-race-to-conquer-the-1-billion-mark-is-going/,"Thu, 27 Feb 2025 16:54:56 +0000","We recently learned how 2024 marked a recovery in venture capital funding figures for Latin American startups. Overall, funding in Latin American startups reached $4.2 billion, including all stages. At this rate, it is expected that by 2025 we will see the emergence of at least three unicorns. The latest report from Wayra, the corporate venture arm of Spanish telecommunications firm Telefónica, revealed that given the conditions in Latin America, three new unicorns could be born. Despite the economic instability that could impact the availability of capital, the report cites that Brazil will see the emergence of a new startup valued at $1 billion, namely Ambar, a construtech, and the AI process management platform Pipefy. Likewise, other countries such as Mexico could also see the birth of a unicorn. Bright, the company that finances solar energy, and the logistics startup 99 Minutos are some of the candidates. The Argentine marketplace Agrofy, the Colombian proptech La Haus also join the race. Fintechs lead the race Fintechs are emerging as one of the most attractive sectors for investors, being a bastion for local entrepreneurship. In the last quarter of 2024, Argentine fintech Ualá closed the year with a $300 million Series E round; while Brazil’s Asaas raised $148 million in its Series C. While sectors such as fintech and SaaS have advantages in terms of scalability thanks to their technological models, at the same time they face high competition and a growing demand for specialized talent. The outlook for unicorns While there are different opportunities in sight, some experts talk about what can be considered an economic instability of local entrepreneurship, something that could negatively impact the availability of capital from investors. Latin America is facing a scenario of a devalued market, especially due to the situation that depends on other economies, such as the US. This represents an additional obstacle compared to other continents. Firstly, startups in the region face not only local competition, but also seek to overcome the challenge of reaching another market and expanding in Latin America. Adapting to the micro-economies represented by each country adds up to major challenges. On the other hand, according to a report by the venture capital firm Cube Ventures, 85% of the latest transactions in the region show values below $250 million dollars and only 4% of these movements exceed $1 billion. The advantage is that startups in the region are able to operate in complete environments and adapt quickly to complex capital raising situations, seeking alternatives to identify opportunities in adverse scenarios. According to a recent report by the firm Distrito, 12 Latin American startups are emerging as the most promising to achieve it this year, here we present them. The 12 startups that could reach a valuation of 1 billion by 2025 Argentina RecargaPay: Mobile payment platform that allows recharging credit, paying for services and managing transportation. With more than 7 million users, it has grown organically in recent years. Pomelo: Fintech that offers infrastructure for issuing and managing cards in the cloud. Its model has made it a strategic ally for banks and fintechs in Latin America. Mexico Kueski: fintech that has revolutionized access to personal credit in Mexico with its “buy now, paylater” model. It has granted more than 20 million loans and works with 25% of the main retailers in the country, which positions it as a strong unicorn candidate. Brazil Tractian: develops industrial predictive maintenance solutions through intelligent sensors and specialized software. Blip: chatbot platform powered by artificial intelligence that optimizes digital business communication. Operates in 32 countries and continues to expand in key markets. Petlove: marketplace for pet products, with more than 15 million items available. Its subscription model has built a loyal and growing customer base. Mottu: motorcycle rental service for independent delivery drivers, including insurance and 24/7 assistance. CRM&Bonus: loyalty platform that uses giftback technology to measure and optimize the impact of commercial incentives. Flash: corporate benefits system that offers flexibility and personalization. It has more than 30,000 clients and one million users. Stark Bank: fintech specializing in digital banking solutions for medium and large companies. Its capacity for integration and expansion has attracted the attention of investors. Omie: cloud platform for business management, aimed at SMEs, that combines financial services with automation. Celcoin: infrastructure provider that enables other companies to integrate financial services into their platforms.",,2025-05-08T10:18:43.687525
"Yavendió raises $850,000 to boost e-commerce sales in Latin America through AI",https://contxto.com/en/funding/yavendio-raises-850000-to-boost-e-commerce-sales-in-latin-america-through-ai/,"Thu, 27 Feb 2025 12:43:41 +0000","Yavendió, a startup dedicated to driving sales of e-commerce brands through artificial intelligence (AI) virtual agents on WhatsApp, has announced the closing of its $850,000 pre-seed round. The capital injection, which will be fundamental to boost the startup’s growth in Latin America, was led by Magma Partners, iThink VC, Semilla Ventures and other angels. The startup was founded in Lima, Peru. This investment comes at a crucial time in the evolution of e-commerce in Latin America. According to Statista, the e-commerce market in the region is expected to grow significantly through 2025, with social commerce emerging as a key driver. With the money raised in this round, the company will invest in the development of a new model that will have the capacity to serve the business, facilitating the setup of virtual sellers and streamlining internal administration. In addition, new offices will be opened in Mexico to reinforce local presence, and capital will be allocated to expand commerce integrations and strengthen analytical capabilities. The startup is on its way to consolidate its position as an integral solution for brands seeking to scale sales through conversational channels in Latin America. YaVendió is an AI-powered virtual sales assistant designed to boost e-commerce business sales through platforms such as WhatsApp and social networks. The platform automates interactions with customers, offering 24/7 support to answer queries and facilitate purchases, thus improving sales conversions and customer engagement. “Unlike other solutions that basically just offer you a platform to order your customers and let you do all the work manually; Yavendió provides you with artificial intelligence agents specialized in retail,” David Tafur, CEO of Yavendió, told Contxto. The technology integrated by this startup enables the creation of highly specialized virtual AI agents for retail capable of conversing with customers, recommending among hundreds of products, managing payments and even coordinating deliveries, all without human intervention. In the last year, Yavendió has enabled an intelligent sales channel for more than 100 fashion, footwear, beauty and home goods retailers in Mexico and Peru, and has doubled its business in the last six months thanks to the high adoption of its platform by brands seeking sales solutions via whatsapp and other social networks. “We invested in Yavendió because they are experts in e-commerce. They have understood that this sector has very specific needs, and their WhatsApp product is much more than a generic chatbot, automating the entire sales process in a unique way,” Nathan Lustig, Managing Partner at Magma Partners, said in a statement. According to a study, during the third quarter of 2023, WhatsApp was the most used social network in Latin America, with more than 92 percent of internet users using this messaging app. However, despite this digital shift, many small and medium-sized businesses still struggle to effectively manage their online sales operations, particularly when handling large product catalogs and customer interactions at scale. Yavendió is already used by more than 100,000 consumers each month and more than 120 brands, according to the company. It also removes barriers with an end-to-end platform that automates most tasks, allowing companies to leverage the conversational channel with high levels of personalization without overloading their teams. “The close contact achieved on WhatsApp increases the likelihood of a sale. However, the manual operation discouraged many brands. With Yavendió, that complexity becomes an almost automatic process, freeing the team for higher value tasks,” concludes Tafur.",,2025-05-08T10:18:43.687525
Parallel18 announces 2nd cohort of startups in biotechnology,https://contxto.com/en/aceleracion/parallel18-announces-2nd-cohort-of-startups-in-biotechnology/,"Wed, 26 Feb 2025 22:09:27 +0000","BioLeap is the bioscience incubation program developed by the Puerto Rico Science, Technology and Research Trust’s (FCTIPR) parallel18 entrepreneurship program, which will provide business education and mentoring for 12 weeks to the participants of its second cohort that seek, through biotechnology solutions, to boost the island’s economy. In total, 13 Puerto Rican startups and one Canadian company were selected to be part of the second edition of its incubation program, where participants and entrepreneurs with bioscience projects will be able to structure their businesses, launch a working prototype and develop patentable technologies with the goal of commercializing them around the world. The selected startups offer solutions in various industries, including medical devices, gene therapy, diagnostics, big data/AI, digital health and environmental platforms. Participating Puerto Rican entrepreneurs come from various municipalities on the island and will benefit from a two-day training bootcamp led by Indiebio-New York, one of the world’s leading climate venture capital firms. The initiative will provide participants in the first and second BioLeap cohorts with access to a network of industry experts, investors and resources within New York’s renowned life sciences and innovation community. The partnership is part of the New York-Puerto Rico Life Science Exchange as a result of the agreement between the governments of New York and Puerto Rico, signed in 2023. “We are excited to be able to support these entrepreneurs through parallel18 and the Trust, while fostering the growth of the island’s life science entrepreneurship ecosystem,” Héctor Jirau, Executive Director of parallel18, said in a statement. The BioLeap program is developed thanks to the U.S. Department of Commerce’s Economic Development Administration’s (EDA) “Build to Scale” grant that supports organizations that promote technology entrepreneurship, innovation and drive economic growth. The selected startups were Ama Earth Group, Consusis Inc, Diversia Health, Equiply.io, Omiquity Health, Prisma Diagnostics, Nura Health, MedETechN, Positivo Biotechnology LLC, T-CAN, Baby Abrazo, iHnnova, ReleaseBio, Yagüez Diagnostics. “This second generation offers innovative and relevant solutions in the field of biosciences that will contribute to the development of innovation and the economy of Puerto Rico,” added Jirau. “At the Puerto Rico Science, Technology and Research Trust, we are proud of the impact BioLeap continues to have on local entrepreneurship in life sciences,” said Lucy Crespo, CEO of FCTIPR. “This second generation will take full advantage of the resources we offer and we look forward to following their achievements closely,” added Crespo. As an initiative of FCTIPR, parallel18 is part of the entrepreneurship pillar, along with programs such as Colmena66, Fase1, SBIR/STTR and others. Together, these initiatives support entrepreneurs at every stage of their entrepreneurial journey. In addition to the entrepreneurial training and support they will receive from parallel18, they will also have collaborative connections and support from other FCTIPR sub-programs such as the Technology Transfer Office (TTO), the Research Grants Program, SBIR/STTR and Colmena66. With this new cohort, Puerto Rico continues to boost its economy by supporting the different startups that emerge on the island and bring with them innovative ideas, in this case in the biosciences industry that are fundamental to solve local challenges, in addition to empowering and leading to these projects also having a global impact.",,2025-05-08T10:18:43.687525
